jenis_kelamin,umur,jml_pinjaman,jkw,jml_angsuran_per_bulan,type_pinjaman,jenis_pinjaman,bi_sektor_ekonomi,col,bi_golongan_debitur,bi_gol_penjamin,saldo_nominatif,tunggakan_pokok,tunggakan_bunga,status kredit
1,38.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,833000.0,82999.99,7500.0,LANCAR
1,46.0,1500000.0,16.0,105000.0,100,301,6000.0,1,874,0,1406250.0,187500.0,22500.0,MACET
1,36.0,1000000.0,12.0,90833.37,100,301,6000.0,1,874,0,917500.0,167499.99,15000.0,MACET
1,38.0,1500000.0,16.0,105000.0,100,301,6000.0,1,874,0,1218750.0,0.0,0.0,LANCAR
1,45.0,5000000.0,10.0,650000.0,100,301,6000.0,1,874,0,5000000.0,0.0,0.0,LANCAR
0,23.0,5000000.0,10.0,650000.0,100,301,6000.0,1,874,0,5000000.0,0.0,0.0,LANCAR
1,35.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,1350000.0,0.0,0.0,LANCAR
1,35.0,1500000.0,16.0,105000.0,100,301,6000.0,1,874,0,1312500.0,0.0,0.0,LANCAR
1,41.0,5000000.0,10.0,650000.0,100,301,6000.0,1,874,0,5000000.0,0.0,0.0,LANCAR
1,19.0,1000000.0,3.0,363333.34,100,301,6000.0,1,874,0,1000000.0,0.0,0.0,LANCAR
0,40.0,2500000.0,5.0,575000.0,100,301,6000.0,1,874,0,2500000.0,0.0,0.0,LANCAR
1,28.0,1500000.0,5.0,345000.0,100,301,6000.0,1,874,0,1500000.0,0.0,0.0,LANCAR
0,28.0,1000000.0,3.0,363333.34,100,301,6000.0,1,874,0,1000000.0,0.0,0.0,LANCAR
1,37.0,1000000.0,3.0,363333.34,100,301,6000.0,1,874,0,1000000.0,0.0,0.0,LANCAR
0,32.0,3000000.0,6.0,590000.0,100,301,6000.0,1,874,0,3000000.0,0.0,0.0,LANCAR
0,37.0,4000000.0,6.0,786666.7,100,301,6000.0,1,874,0,4000000.0,0.0,0.0,LANCAR
0,42.0,1500000.0,20.0,86250.0,100,301,6000.0,1,874,0,1200000.0,0.0,0.0,LANCAR
1,41.0,325358.64,6.0,54228.64,100,301,6000.0,1,874,875,325358.64,108452.0,0.0,MACET
1,31.0,110285.01,5.0,22057.01,100,301,6000.0,1,874,875,110285.01,44114.0,0.0,MACET
0,33.0,2350000.0,12.0,233433.0,100,301,6000.0,1,874,875,2350000.0,391666.0,75200.0,MACET
1,36.0,750000.0,8.0,74750.0,100,301,6000.0,1,874,875,598000.0,598000.0,0.0,MACET
1,44.0,530000.0,8.0,66250.0,100,301,6000.0,1,874,875,530000.0,530000.0,0.0,MACET
1,34.0,147667.0,8.0,18458.41,100,301,6000.0,1,874,875,147667.0,147667.0,0.0,MACET
1,40.0,395508.52,6.0,65918.16,100,301,6000.0,1,874,875,395508.52,131836.32,0.0,MACET
1,35.0,1000000.0,6.0,175056.0,100,301,6000.0,1,874,875,1050335.52,350112.0,0.0,MACET
1,33.0,500000.0,5.0,100000.0,100,301,6000.0,1,874,875,500000.0,200000.0,0.0,MACET
1,40.0,960335.52,6.0,160056.0,100,301,6000.0,1,874,875,960335.52,320112.0,0.0,MACET
1,41.0,323669.52,6.0,53945.0,100,301,6000.0,1,874,875,323669.52,107890.0,0.0,MACET
0,48.0,1600000.0,10.0,160000.0,100,301,6000.0,1,874,875,1458651.05,498651.05,0.0,MACET
1,40.0,1000000.0,8.0,128387.62,100,301,6000.0,1,874,875,1027100.65,1027100.65,0.0,MACET
0,48.0,2850000.0,12.0,280250.0,100,301,6000.0,1,874,875,2850000.0,475000.0,0.0,MACET
1,2.0,680000.0,12.0,61666.74,100,301,6000.0,1,874,875,604000.0,490666.6,45000.0,MACET
1,36.0,496668.0,12.0,43889.0,100,301,6000.0,1,874,875,334668.0,246890.0,0.0,MACET
1,39.0,930000.0,6.0,158160.16,100,301,6000.0,1,874,875,948960.58,316320.32,0.0,MACET
1,39.0,500000.0,8.0,32250.0,100,301,6000.0,1,874,875,258000.0,258000.0,0.0,MACET
